rank,date,prediction_date,code,name,price,change_pct,score,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
34,2026-09-18,2026-09-21,600838,上海九百,8.59,9.987,0.11138518973831697,9.98719590268886,10.6958762886598,5.78817733990149,0.5854800936768267,15.768194070080854,0.650494562581056,1,0,1,-4.02234636871508,17.832647462277084,2,5.245939824535316,9.545983701979049,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.0,0,0,1,9.98719590268886,0.04878048780487808,0.5148005148005064,0.04878048780487808,1.9086903070997976,0.9362883180155158,0,1
35,2026-09-18,2026-09-21,603232,格尔软件,16.31,9.98,0.10915717639719445,9.97977073499663,3.3586818757921355,9.536601746138329,2.321204516938513,10.651289009497944,1.9662145229083379,1,1,0,0.0,11.559507523939816,3,2.673241777481606,9.07418761496014,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.06743088334457692,0,0,1,9.905660377358494,0.006756756756756619,0.06743088334457692,0.006756756756756619,2.3307371538899844,3.0203052141347952,0,1
36,2026-09-18,2026-09-21,601026,道生天合材料科技,15.95,10.0,0.10874128730198188,9.999999999999986,10.687022900763354,12.641242937853093,7.916102841677941,2.2435897435897356,1.1369332166981267,1,1,0,0.0,12.641242937853093,4,3.081324517895425,10.21943573667711,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.13793103448275223,0,0,1,10.151933701657455,0.09815950920245413,1.1173184357541999,0.09815950920245413,4.119028772809007,2.8554256887753415,0,1
37,2026-09-18,2026-09-21,603122,合富中国,13.64,10.0,0.10870657102133086,10.000000000000009,15.300084530853763,11.346938775510207,0.5899705014749346,15.105485232067517,1.2692191707700176,1,0,1,-0.8720930232558044,19.85940246045694,2,4.7469811131315,9.750733137829911,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.4838709677419395,0,0,1,10.534846029173428,0.022556390977443126,0.2437043054427157,0.022556390977443126,1.7881069055458347,1.7731080763615361,0,1
38,2026-09-18,2026-09-21,001317,三羊马,54.51,10.01,0.10823709637641568,10.010090817356199,15.634280865507,10.500709507399142,1.2444279346210951,2.2701688555347044,0.8570916406115427,1,0,0,-0.3837719298245612,15.634280865507,3,4.3842575352024005,8.163639699137766,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.2714429868819321,0,0,1,8.628935831008366,0.026966292134830913,0.239712345185783,0.026966292134830913,1.7430213791277709,0.8667130716895828,0,1
39,2026-09-18,2026-09-21,001238,浙江正特,26.31,9.992,0.10798648023428939,9.991638795986614,12.724935732647813,10.825610783487782,6.003223207091057,4.862495017935431,1.2389638227671127,1,0,0,0.0,12.724935732647813,3,3.3492355103247773,8.703914861269476,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,3.3862876254180607,0,0,1,6.389001213101486,0.31004366812227124,2.9558701082431416,0.31004366812227124,3.035005818041165,2.7731842251256835,0,1
40,2026-09-18,2026-09-21,002849,威星智能,20.32,10.016,0.10717531498363228,10.016242555495403,16.114285714285725,19.74071891573366,9.897241752298559,10.735694822888275,1.2436731490763182,1,1,0,0.0,19.74071891573366,4,4.2973730417349305,8.612204724409448,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.5955603681645938,0,0,1,9.364908503767499,0.005714285714284577,0.0538502961766163,0.005714285714284577,1.997298187550134,2.9499961223519,0,1
41,2026-09-18,2026-09-21,001229,魅视科技,39.99,10.014,0.10695297421632305,10.013755158184324,10.53067993366501,7.269313304721026,13.12588401697312,-11.819184123484018,0.889469743730152,1,0,0,-8.068965517241377,13.12588401697312,2,4.174771792621154,9.777444361090282,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.6506189821182904,0,0,1,8.22733423545332,0.22250639386189353,2.411308203991136,0.22250639386189353,2.0064135397288134,1.2438349387148704,0,1
42,2026-09-18,2026-09-21,600640,国脉文化,12.06,10.036,0.10681938829210491,10.036496350364965,14.421252371916516,11.152073732718893,7.582515611061558,13.452492944496708,1.1486469476140833,1,0,1,0.0,15.517241379310365,3,3.435968879753023,9.369817578772809,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.36496350364962904,0,0,1,9.636363636363644,0.061946902654867464,0.6404391582799596,0.061946902654867464,2.9582549395684414,2.9689753359100215,0,1
43,2026-09-18,2026-09-21,605188,国光连锁,13.12,9.975,0.10535516916472605,9.974853310980713,9.060681629260191,-4.9275362318840665,-8.251748251748259,6.4071370640713665,0.8048476013047119,0,0,1,-15.080906148867312,11.754684838160134,2,9.712175449755591,10.518292682926822,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-1.5088013411567402,0,0,1,11.659574468085099,0.007246376811594054,0.08517887563883608,0.007246376811594054,1.380892461821265,0.7864812672130447,0,1
44,2026-09-18,2026-09-21,603068,博通集成,39.81,10.003,0.10450957173019976,10.002763194252573,12.712344280860698,12.584841628959275,0.27707808564232383,3.1347150259067424,0.8176428933121894,1,0,0,-3.5610465116279078,13.032367972742765,3,4.030500633861978,8.33961316252198,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.2710693561757358,0,0,1,8.622100954979551,0.04819277108433632,0.4384762948753007,0.04819277108433632,2.14545973600673,1.4658652372742955,0,1
45,2026-09-18,2026-09-21,603016,新宏泰,30.48,9.996,0.10272895771118755,9.996391194514608,12.43083732939876,8.934953538241608,-7.63636363636363,1.3297872340425565,0.6120813727341503,1,0,0,-13.409090909090915,12.43083732939876,3,6.466770963456874,8.530183727034126,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.6134969325153339,0,0,1,9.32568149210904,0.0,0.0,0.0,1.8205730795032535,1.110609088314259,0,1
46,2026-09-18,2026-09-21,003041,真爱美家,42.02,10.0,0.10267010397798454,10.000000000000009,9.827496079456367,13.139472267097485,6.379746835443045,5.551369002763118,1.3317073036169131,1,1,0,0.0,13.139472267097485,4,2.9837095685597546,9.138505473584015,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.05235602094241232,0,0,1,10.057621791513881,0.0,0.0,0.0,2.421892700876936,2.9581168616489624,0,1
47,2026-09-18,2026-09-21,002005,德豪润达,2.66,9.917,0.10211922478600752,9.917355371900838,9.917355371900838,11.764705882352944,11.297071129707103,9.465020576131678,1.510535178019069,1,1,1,0.0,13.191489361702136,3,3.0393057039710887,9.398496240601503,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.2396694214876103,0,0,1,8.571428571428562,0.16000000000000014,1.6597510373443924,0.16000000000000014,3.2226922871700894,3.934676361040512,0,1
48,2026-09-18,2026-09-21,603402,陕西旅游,64.19,10.009,0.10077198086841055,10.008568980291344,10.235273913790156,3.934585492227982,-11.790573038339968,3.8001293661060753,0.7743368692042215,0,0,0,-17.4723579326305,11.09380408445828,2,9.013370867822406,9.674404112790155,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-0.5998286203941716,0,0,1,10.672413793103441,0.0032206119162645932,0.034494653328742686,0.0032206119162645932,1.940673700110235,1.1810236078113532,0,1
49,2026-09-18,2026-09-21,002471,中超控股,5.96,9.963,0.09696107177062536,9.963099630996307,9.157509157509146,3.832752613240409,2.936096718480141,12.66540642722116,0.961493104412546,1,0,1,0.0,14.176245210727977,2,2.75801365851771,8.724832214765094,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.5535055350553542,0,0,1,9.35779816513762,0.019230769230768836,0.18382352941175295,0.019230769230768836,2.993409137096501,2.121143925221199,0,1
50,2026-09-18,2026-09-21,601811,新华文轩,13.9,9.968,0.09636462402248992,9.968354430379755,17.89652247667517,18.905047048759638,20.974760661444726,16.806722689075638,1.938671551861422,1,1,1,0.0,24.775583482944352,4,4.71064282121218,11.007194244604324,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-2.0569620253164556,0,0,1,12.277867528271402,0.006535947712419317,0.08084074373484462,0.006535947712419317,3.547407355116653,4.720882836740197,0,1
51,2026-09-18,2026-09-21,600606,绿地控股,1.45,9.848,0.09540342843281298,9.84848484848484,14.173228346456689,13.28125,8.208955223880587,14.173228346456689,1.1298543539823585,1,0,1,0.0,15.999999999999993,4,3.431684221965442,9.655172413793096,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.7575757575757569,0,0,1,9.022556390977442,0.14285714285714307,1.526717557251911,0.14285714285714307,2.7008052707683845,2.7695427836806537,0,1
52,2026-09-18,2026-09-21,002965,祥鑫科技,31.11,10.007,0.09396973662795004,10.007072135785,13.830954994511524,12.880986937590722,3.803803803803807,-1.425855513307983,0.8564233665432317,1,0,0,-3.084112149532714,13.830954994511524,4,4.100508069021968,12.31115396978463,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-2.934936350777939,0,0,1,13.33333333333333,0.04438642297650084,0.6231671554252083,0.04438642297650084,2.624524432870453,1.6596751702571422,0,1
